Start_Date,End_Date,First_Name,Last_Name,Party,Wiki_URL,Imgur Code
04/30/1789,03/04/1797,George,Washington,Unaffiliated,https://en.wikipedia.org/wiki/Presidency_of_George_Washington, 'gk1cP2u'
03/04/1797,03/04/1801,John,Adams,Federalist,https://en.wikipedia.org/wiki/Presidency_of_John_Adams, '9FR7eva'
03/04/1801,03/04/1809,Thomas,Jefferson,Democratic-Republican,https://en.wikipedia.org/wiki/Presidency_of_Thomas_Jefferson, 'aumfl2F'
03/04/1809,03/04/1817,James,Madison,Democratic-Republican,https://en.wikipedia.org/wiki/Presidency_of_James_Madison, 'kx8BdCT'
03/04/1817,03/04/1825,James,Monroe,Democratic-Republican,https://en.wikipedia.org/wiki/Presidency_of_James_Monroe, 'z6Yd9Lm'
03/04/1825,03/04/1829,John,Adams,Democratic-Republican,https://en.wikipedia.org/wiki/Presidency_of_John_Quincy_Adams, '4HLWKcB'
03/04/1829,03/04/1837,Andrew,Jackson,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Andrew_Jackson, 'mmTyKJ1'
03/04/1837,03/04/1841,Martin,Van Buren,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Martin_Van_Buren, 'PCb7ly6'
03/04/1841,04/04/1841,William Henry,Harrison,Whig,https://en.wikipedia.org/wiki/William_Henry_Harrison#Presidency_(1841), 'UgN4EA7'
04/04/1841,03/04/1845,John,Tyler,Whig,https://en.wikipedia.org/wiki/Presidency_of_John_Tyler, 'rVoiW4X'
03/04/1845,03/04/1849,James,Polk,Democratic,https://en.wikipedia.org/wiki/Presidency_of_James_K._Polk, 'i3euA9w'
03/04/1849,07/09/1850,Zachary,Taylor,Whig,https://en.wikipedia.org/wiki/Presidency_of_Zachary_Taylor, 'kt92UVi'
07/09/1850,03/04/1853,Millard,Fillmore,Whig,https://en.wikipedia.org/wiki/Presidency_of_Millard_Fillmore, 'oo5aw5x'
03/04/1853,03/04/1857,Franklin,Pierce,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Franklin_Pierce, 'BZI7FTa'
03/04/1857,03/04/1861,James,Buchanan,Democratic,https://en.wikipedia.org/wiki/Presidency_of_James_Buchanan, 'XLkIWAs'
03/04/1861,04/15/1865,Abraham,Lincoln,Republican,https://en.wikipedia.org/wiki/Presidency_of_Abraham_Lincoln, 'qB4GVSv'
04/15/1865,03/04/1869,Andrew,Johnson,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Andrew_Johnson, '5kAZ3NJ'
03/04/1869,03/04/1877,Ulysses,Grant,Republican,https://en.wikipedia.org/wiki/Presidency_of_Ulysses_S._Grant, 'drQysn9'
03/04/1877,03/04/1881,Rutherford,Hayes,Republican,https://en.wikipedia.org/wiki/Presidency_of_Rutherford_B._Hayes, 'UqvMVTH'
03/04/1881,09/19/1881,James,Garfield,Republican,"https://en.wikipedia.org/wiki/James_A._Garfield#Presidency,_1881", 'Wte60Q6'
09/19/1881,03/04/1885,Chester,Arthur,Republican,https://en.wikipedia.org/wiki/Presidency_of_Chester_A._Arthur, '3DAK1C1'
03/04/1885,03/04/1889,Grover,Cleveland,Democratic,https://en.wikipedia.org/wiki/Presidencies_of_Grover_Cleveland, 'h6b7Vw5'
03/04/1889,03/04/1893,Benjamin,Harrison,Republican,https://en.wikipedia.org/wiki/Presidency_of_Benjamin_Harrison, 'ctHNmhA'
03/04/1893,03/04/1897,Grover,Cleveland,Democratic,https://en.wikipedia.org/wiki/Presidencies_of_Grover_Cleveland, '18zBca0'
03/04/1897,09/14/1901,William,McKinley,Republican,https://en.wikipedia.org/wiki/Presidency_of_William_McKinley, 'hb94eO2'
09/14/1901,03/04/1909,Theodore,Roosevelt,Republican,https://en.wikipedia.org/wiki/Presidency_of_Theodore_Roosevelt, '12hJdg0'
03/04/1909,03/04/1913,William,Taft,Republican,https://en.wikipedia.org/wiki/Presidency_of_William_Howard_Taft, 'Bl8oRVY'
03/04/1913,03/04/1921,Woodrow,Wilson,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Woodrow_Wilson, 'HQ1xV6H'
03/04/1921,08/02/1923,Warren,Harding,Republican,https://en.wikipedia.org/wiki/Presidency_of_Warren_G._Harding, 'pj4oAjR'
08/02/1923,03/04/1929,Calvin,Coolidge,Republican,https://en.wikipedia.org/wiki/Presidency_of_Calvin_Coolidge, 'QuzzGmm'
03/04/1929,03/04/1933,Herbert,Hoover,Republican,https://en.wikipedia.org/wiki/Presidency_of_Herbert_Hoover, 'zpE50Pa'
03/04/1933,04/12/1945,Franklin,Roosevelt,Democratic,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt, '4zSuesA'
04/12/1945,01/20/1953,Harry,Truman,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Harry_S._Truman, 'mevGXAh'
01/20/1953,01/20/1961,Dwight,Eisenhower,Republican,https://en.wikipedia.org/wiki/Presidency_of_Dwight_D._Eisenhower, '5zq1fDg'
01/20/1961,11/22/1963,John,Kennedy,Democratic,https://en.wikipedia.org/wiki/Presidency_of_John_F._Kennedy, 'EcUoEs2'
11/22/1963,01/20/1969,Lyndon,Johnson,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Lyndon_B._Johnson, 'S5BJfEO'
01/20/1969,08/09/1974,Richard,Nixon,Republican,https://en.wikipedia.org/wiki/Presidency_of_Richard_Nixon, 'bMW0Ltr'
08/09/1974,01/20/1977,Gerald,Ford,Republican,https://en.wikipedia.org/wiki/Presidency_of_Gerald_Ford, 'hutxiiz'
01/20/1977,01/20/1981,Jimmy,Carter,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Jimmy_Carter, 'hRBgyF1'
01/20/1981,01/20/1989,Ronald,Reagan,Republican,https://en.wikipedia.org/wiki/Presidency_of_Ronald_Reagan, 'gHP21eA'
01/20/1989,01/20/1993,George,Bush,Republican,https://en.wikipedia.org/wiki/Presidency_of_George_H._W._Bush, '3QtuHuW'
01/20/1993,01/20/2001,Bill,Clinton,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Bill_Clinton, 'XSwwVLh'
01/20/2001,01/20/2009,George,Bush,Republican,https://en.wikipedia.org/wiki/Presidency_of_George_W._Bush, 'wnbeSN1'
01/20/2009,01/20/2017,Barack,Obama,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Barack_Obama, 'Uw18RFA'
01/20/2017,01/20/2021,Donald,Trump,Republican,https://en.wikipedia.org/wiki/Presidency_of_Donald_Trump, '4APgxYd'
01/20/2021,01/20/2025,Joe,Biden,Democratic,https://en.wikipedia.org/wiki/Presidency_of_Joe_Biden, 'S5wCZcd'